sample_id,signature,cluster
TCGA-AG-A01W-01,Primary,G2
TCGA-AG-A01Y-01,Primary,G2
TCGA-AG-A020-01,Primary,G5
TCGA-AG-A02G-01,Primary,G5
TCGA-AG-A032-01,Primary,G4
TCGA-AH-6544-01,Primary,G1
TCGA-AH-6643-01,Primary,G1
TCGA-AH-6644-01,Primary,G2
TCGA-AH-6897-01,Primary,G3
TCGA-AU-3779-01,Primary,G3
TCGA-AU-6004-01,Primary,G1
TCGA-AY-4070-01,Primary,G2
TCGA-AY-4071-01,Primary,G5
TCGA-AY-5543-01,Primary,G4
TCGA-AY-6196-01,Primary,G1
TCGA-AY-6197-01,Primary,G1
TCGA-AY-A54L-01,Primary,G3
TCGA-AY-A69D-01,Primary,G3
TCGA-AY-A71X-01,Primary,G1
TCGA-AZ-4615-01,Primary,G1
TCGA-AZ-4616-01,Primary,G1
TCGA-AZ-4681-01,Primary,G2
TCGA-AZ-4682-01,Primary,G4
TCGA-AZ-5403-01,Primary,G2
TCGA-AZ-5407-01,Primary,G1
TCGA-AZ-6598-01,Primary,G1
TCGA-AZ-6605-01,Primary,G5
TCGA-AZ-6606-01,Primary,G4
TCGA-CA-5254-01,Primary,G1
TCGA-CA-5255-01,Primary,G1
TCGA-CA-5256-01,Primary,G3
TCGA-CA-5797-01,Primary,G3
TCGA-CA-6716-01,Primary,G3
TCGA-CI-6621-01,Primary,G2
TCGA-CI-6622-01,Primary,G4
TCGA-CI-6623-01,Primary,G4
TCGA-CK-5912-01,Primary,G4
TCGA-CK-5913-01,Primary,G1
TCGA-CK-5914-01,Primary,G5
TCGA-CK-5915-01,Primary,G3
TCGA-CK-6746-01,Primary,G1
TCGA-CK-6748-01,Primary,G4
TCGA-CL-4957-01,Primary,G4
TCGA-CL-5917-01,Primary,G2
TCGA-CL-5918-01,Primary,G5
TCGA-CM-4744-01,Primary,G1
TCGA-CM-4747-01,Primary,G3
TCGA-CM-4750-01,Primary,G5
TCGA-CM-4752-01,Primary,G2
TCGA-CM-5341-01,Primary,G2
TCGA-CM-5349-01,Primary,G2
TCGA-CM-5861-01,Primary,G1
TCGA-CM-5863-01,Primary,G1
TCGA-CM-6162-01,Primary,G1
TCGA-CM-6163-01,Primary,G4
TCGA-CM-6164-01,Primary,G5
TCGA-CM-6165-01,Primary,G4
TCGA-CM-6167-01,Primary,G5
TCGA-CM-6168-01,Primary,G1
TCGA-CM-6169-01,Primary,G2
TCGA-CM-6170-01,Primary,G5
TCGA-CM-6171-01,Primary,G1
TCGA-CM-6172-01,Primary,G4
TCGA-CM-6676-01,Primary,G2
TCGA-CM-6677-01,Primary,G3
TCGA-CM-6679-01,Primary,G5
TCGA-D5-5537-01,Primary,G3
TCGA-D5-5539-01,Primary,G4
TCGA-D5-5540-01,Primary,G2
TCGA-D5-5541-01,Primary,G2
TCGA-D5-6529-01,Primary,G1
TCGA-D5-6532-01,Primary,G4
TCGA-D5-6537-01,Primary,G5
TCGA-D5-6540-01,Primary,G1
TCGA-D5-6898-01,Primary,G2
TCGA-D5-6922-01,Primary,G2
TCGA-D5-6923-01,Primary,G2
TCGA-D5-6924-01,Primary,G5
TCGA-D5-6926-01,Primary,G2
TCGA-D5-6928-01,Primary,G1
TCGA-D5-6932-01,Primary,G4
TCGA-D5-7000-01,Primary,G1
TCGA-DC-4749-01,Primary,G5
TCGA-DC-5337-01,Primary,G3
TCGA-DC-5869-01,Primary,G3
TCGA-DC-6158-01,Primary,G2
TCGA-DC-6160-01,Primary,G5
TCGA-DM-A0X9-01,Primary,G3
TCGA-DM-A0XD-01,Primary,G3
TCGA-DM-A0XF-01,Primary,G2
TCGA-DM-A1D4-01,Primary,G4
TCGA-DM-A1D6-01,Primary,G5
TCGA-DM-A1D7-01,Primary,G5
TCGA-DM-A1D8-01,Primary,G3
TCGA-DM-A1DA-01,Primary,G1
TCGA-DM-A1DB-01,Primary,G2
TCGA-DM-A1HA-01,Primary,G4
TCGA-DM-A282-01,Primary,G3
TCGA-DM-A285-01,Primary,G2
TCGA-DM-A28A-01,Primary,G5
TCGA-DM-A28E-01,Primary,G4
TCGA-DM-A28K-01,Primary,G1
TCGA-DY-A0XA-01,Primary,G2
TCGA-DY-A1DC-01,Primary,G2
TCGA-DY-A1DE-01,Primary,G3
TCGA-DY-A1DF-01,Primary,G4
TCGA-DY-A1DG-01,Primary,G4
TCGA-DY-A1H8-01,Primary,G5
TCGA-EF-5830-01,Primary,G2
TCGA-EF-5831-01,Primary,G2
TCGA-EI-6506-01,Primary,G3
TCGA-EI-6508-01,Primary,G3
TCGA-EI-6509-01,Primary,G4
TCGA-EI-6512-01,Primary,G5
TCGA-EI-6513-01,Primary,G2
TCGA-EI-6881-01,Primary,G4
TCGA-EI-6883-01,Primary,G2
TCGA-EI-6885-01,Primary,G2
TCGA-F4-6459-01,Primary,G2
TCGA-F4-6460-01,Primary,G4
TCGA-F4-6569-01,Primary,G1
TCGA-F4-6570-01,Primary,G1
TCGA-F4-6704-01,Primary,G3
TCGA-F4-6807-01,Primary,G1
TCGA-F4-6808-01,Primary,G5
TCGA-F4-6809-01,Primary,G5
TCGA-F4-6854-01,Primary,G5
TCGA-F5-6465-01,Primary,G3
TCGA-F5-6571-01,Primary,G4
TCGA-F5-6702-01,Primary,G2
TCGA-F5-6810-01,Primary,G3
